incident_id,timestamp,status,threat_id,threat_name,threat_type,severity,asset_id,asset_name,asset_type,asset_owner_department,asset_vulnerability_score,employee_id,emp_name,emp_department,emp_security_training,time_to_resolve_hours,data_breached_gb,financial_impact_k,description
2856,2020-08-12 10:43:32.560393,Resolved,1,Phishing,Social Engineering,3,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,9,Emily Soto,Themeparkmanager,Pending,173,0.0,8.06,Threat: Phishing; Type: Social Engineering; Asset: Childpsychotherapist Server 15 (Workstation); User: Emily Soto; Severity: 3
1121,2020-08-12 11:23:51.560393,Investigating,2,Malware,Malicious Code,6,45,Purchasingmanager Database 45,Database,"Engineer,materials",6,7,Amy Cox,Electricalengineer,Completed,42,0.0,33.28,Threat: Malware; Type: Malicious Code; Asset: Purchasingmanager Database 45 (Database); User: Amy Cox; Severity: 6
2934,2020-08-12 12:32:52.560393,Resolved,3,Ransomware,Malicious Code,10,48,Planninganddevelopmentsurveyor Cloud Storage 48,Server,Gamesdeveloper,1,1,John Nelson,Consultingcivilengineer,Pending,143,13.27,84.48,Threat: Ransomware; Type: Malicious Code; Asset: Planninganddevelopmentsurveyor Cloud Storage 48 (Server); User: John Nelson; Severity: 10
3827,2020-08-12 18:16:32.560393,Closed,1,Phishing,Social Engineering,3,30,Electricalengineer Cloud Storage 30,Workstation,Purchasingmanager,2,6,Jeremy Allen,Databaseadministrator,Pending,18,0.0,21.66,Threat: Phishing; Type: Social Engineering; Asset: Electricalengineer Cloud Storage 30 (Workstation); User: Jeremy Allen; Severity: 3
1449,2020-08-12 20:30:54.560393,Investigating,2,Malware,Malicious Code,6,25,Gamesdeveloper Cloud Storage 25,Workstation,Electricalengineer,1,3,Veronica Fitzgerald,Purchasingmanager,Completed,20,0.0,38.11,Threat: Malware; Type: Malicious Code; Asset: Gamesdeveloper Cloud Storage 25 (Workstation); User: Veronica Fitzgerald; Severity: 6
4547,2020-08-12 21:57:57.560393,Resolved,2,Malware,Malicious Code,6,22,Electricalengineer Cloud Storage 22,Database,"Engineer,materials",4,6,Jeremy Allen,Databaseadministrator,Pending,30,0.0,29.56,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Cloud Storage 22 (Database); User: Jeremy Allen; Severity: 6
3092,2020-08-13 06:01:51.560393,Resolved,5,Insider Threat,Insider,9,39,Purchasingmanager Database 39,Cloud Storage,Clinicalresearchassociate,5,5,Megan Garcia,"Physicist,medical",Completed,69,34.48,454.92,Threat: Insider Threat; Type: Insider; Asset: Purchasingmanager Database 39 (Cloud Storage); User: Megan Garcia; Severity: 9
801,2020-08-13 15:54:02.560393,Resolved,1,Phishing,Social Engineering,3,45,Purchasingmanager Database 45,Database,"Engineer,materials",6,9,Emily Soto,Themeparkmanager,Pending,32,0.0,27.22,Threat: Phishing; Type: Social Engineering; Asset: Purchasingmanager Database 45 (Database); User: Emily Soto; Severity: 3
3666,2020-08-14 12:08:36.560393,Resolved,2,Malware,Malicious Code,6,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,10,Eric Perez,Childpsychotherapist,Completed,30,5.27,184.78,Threat: Malware; Type: Malicious Code; Asset: Childpsychotherapist Server 15 (Workstation); User: Eric Perez; Severity: 6
96,2020-08-14 13:40:12.560393,Resolved,5,Insider Threat,Insider,9,4,Planninganddevelopmentsurveyor Server 4,Database,Miningengineer,2,9,Emily Soto,Themeparkmanager,Pending,275,19.98,326.17,Threat: Insider Threat; Type: Insider; Asset: Planninganddevelopmentsurveyor Server 4 (Database); User: Emily Soto; Severity: 9
3725,2020-08-14 14:29:50.560393,Resolved,2,Malware,Malicious Code,6,40,"Physicist,medical Database 40",Database,Consultingcivilengineer,3,14,Ashley Lester,Planninganddevelopmentsurveyor,Completed,20,56.48,569.79,"Threat: Malware; Type: Malicious Code; Asset: Physicist,medical Database 40 (Database); User: Ashley Lester; Severity: 6"
4605,2020-08-14 23:24:06.560393,Resolved,1,Phishing,Social Engineering,3,10,Electricalengineer Database 10,Server,"Physicist,medical",1,1,John Nelson,Consultingcivilengineer,Pending,84,0.0,14.63,Threat: Phishing; Type: Social Engineering; Asset: Electricalengineer Database 10 (Server); User: John Nelson; Severity: 3
816,2020-08-15 23:50:11.560393,Resolved,1,Phishing,Social Engineering,3,11,Themeparkmanager Database 11,Database,Miningengineer,1,2,Angela Sanchez,Gamesdeveloper,Completed,94,0.0,17.08,Threat: Phishing; Type: Social Engineering; Asset: Themeparkmanager Database 11 (Database); User: Angela Sanchez; Severity: 3
4758,2020-08-16 03:10:43.560393,Resolved,2,Malware,Malicious Code,6,3,Purchasingmanager Server 3,Server,Miningengineer,5,1,John Nelson,Consultingcivilengineer,Pending,40,33.72,561.33,Threat: Malware; Type: Malicious Code; Asset: Purchasingmanager Server 3 (Server); User: John Nelson; Severity: 6
2467,2020-08-16 04:42:41.560393,Resolved,2,Malware,Malicious Code,6,17,"Physicist,medical Server 17",Cloud Storage,"Engineer,materials",4,9,Emily Soto,Themeparkmanager,Pending,80,78.12,2838.52,"Threat: Malware; Type: Malicious Code; Asset: Physicist,medical Server 17 (Cloud Storage); User: Emily Soto; Severity: 6"
3754,2020-08-16 05:15:25.560393,Resolved,1,Phishing,Social Engineering,3,19,"Engineer,materials Database 19",Workstation,Consultingcivilengineer,3,8,Alyssa Carpenter,"Administrator,CivilService",Pending,55,0.0,5.41,"Threat: Phishing; Type: Social Engineering; Asset: Engineer,materials Database 19 (Workstation); User: Alyssa Carpenter; Severity: 3"
1087,2020-08-16 09:42:09.560393,Resolved,3,Ransomware,Malicious Code,10,46,Fieldseismologist Cloud Storage 46,Database,"Administrator,CivilService",5,6,Jeremy Allen,Databaseadministrator,Pending,1538,18.87,492.12,Threat: Ransomware; Type: Malicious Code; Asset: Fieldseismologist Cloud Storage 46 (Database); User: Jeremy Allen; Severity: 10
145,2020-08-16 17:25:52.560393,Resolved,1,Phishing,Social Engineering,3,43,Electricalengineer Workstation 43,Workstation,Childpsychotherapist,6,1,John Nelson,Consultingcivilengineer,Pending,25,10.72,192.37,Threat: Phishing; Type: Social Engineering; Asset: Electricalengineer Workstation 43 (Workstation); User: John Nelson; Severity: 3
996,2020-08-16 21:53:38.560393,Resolved,1,Phishing,Social Engineering,3,41,Gamesdeveloper Database 41,Server,"Administrator,CivilService",1,6,Jeremy Allen,Databaseadministrator,Pending,54,0.0,9.3,Threat: Phishing; Type: Social Engineering; Asset: Gamesdeveloper Database 41 (Server); User: Jeremy Allen; Severity: 3
3741,2020-08-16 22:35:58.560393,Resolved,5,Insider Threat,Insider,9,48,Planninganddevelopmentsurveyor Cloud Storage 48,Server,Gamesdeveloper,1,1,John Nelson,Consultingcivilengineer,Pending,338,4.59,197.84,Threat: Insider Threat; Type: Insider; Asset: Planninganddevelopmentsurveyor Cloud Storage 48 (Server); User: John Nelson; Severity: 9
4131,2020-08-16 23:25:33.560393,Resolved,2,Malware,Malicious Code,6,50,Childpsychotherapist Server 50,Workstation,Planninganddevelopmentsurveyor,4,10,Eric Perez,Childpsychotherapist,Completed,24,0.0,45.05,Threat: Malware; Type: Malicious Code; Asset: Childpsychotherapist Server 50 (Workstation); User: Eric Perez; Severity: 6
4205,2020-08-17 14:49:17.560393,Resolved,2,Malware,Malicious Code,6,36,Consultingcivilengineer Server 36,Cloud Storage,Consultingcivilengineer,4,14,Ashley Lester,Planninganddevelopmentsurveyor,Completed,111,36.09,380.72,Threat: Malware; Type: Malicious Code; Asset: Consultingcivilengineer Server 36 (Cloud Storage); User: Ashley Lester; Severity: 6
4128,2020-08-18 00:57:19.560393,Resolved,2,Malware,Malicious Code,6,2,"Engineer,materials Database 2",Workstation,Databaseadministrator,7,4,Christopher Miller,"Engineer,materials",Completed,98,0.0,33.44,"Threat: Malware; Type: Malicious Code; Asset: Engineer,materials Database 2 (Workstation); User: Christopher Miller; Severity: 6"
3583,2020-08-18 02:41:57.560393,Resolved,4,DoS Attack,Denial of Service,8,20,Childpsychotherapist Server 20,Workstation,Databaseadministrator,5,6,Jeremy Allen,Databaseadministrator,Pending,32,21.86,429.85,Threat: DoS Attack; Type: Denial of Service; Asset: Childpsychotherapist Server 20 (Workstation); User: Jeremy Allen; Severity: 8
2505,2020-08-18 20:07:53.560393,Resolved,3,Ransomware,Malicious Code,10,41,Gamesdeveloper Database 41,Server,"Administrator,CivilService",1,2,Angela Sanchez,Gamesdeveloper,Completed,20,0.0,92.32,Threat: Ransomware; Type: Malicious Code; Asset: Gamesdeveloper Database 41 (Server); User: Angela Sanchez; Severity: 10
1263,2020-08-18 23:17:31.560393,Resolved,1,Phishing,Social Engineering,3,1,Fieldseismologist Database 1,Database,Databaseadministrator,1,1,John Nelson,Consultingcivilengineer,Pending,26,0.0,21.03,Threat: Phishing; Type: Social Engineering; Asset: Fieldseismologist Database 1 (Database); User: John Nelson; Severity: 3
3431,2020-08-19 01:14:01.560393,Resolved,3,Ransomware,Malicious Code,10,38,Themeparkmanager Database 38,Database,Childpsychotherapist,2,1,John Nelson,Consultingcivilengineer,Pending,9,65.13,1893.67,Threat: Ransomware; Type: Malicious Code; Asset: Themeparkmanager Database 38 (Database); User: John Nelson; Severity: 10
2189,2020-08-19 09:15:03.560393,Resolved,3,Ransomware,Malicious Code,10,6,Fieldseismologist Cloud Storage 6,Cloud Storage,Databaseadministrator,9,6,Jeremy Allen,Databaseadministrator,Pending,22,24.99,1156.08,Threat: Ransomware; Type: Malicious Code; Asset: Fieldseismologist Cloud Storage 6 (Cloud Storage); User: Jeremy Allen; Severity: 10
485,2020-08-19 12:33:00.560393,Resolved,2,Malware,Malicious Code,6,16,Databaseadministrator Workstation 16,Server,Purchasingmanager,3,5,Megan Garcia,"Physicist,medical",Completed,39,0.0,37.64,Threat: Malware; Type: Malicious Code; Asset: Databaseadministrator Workstation 16 (Server); User: Megan Garcia; Severity: 6
2362,2020-08-20 03:48:23.560393,Resolved,2,Malware,Malicious Code,6,26,"Physicist,medical Cloud Storage 26",Workstation,Consultingcivilengineer,10,1,John Nelson,Consultingcivilengineer,Pending,96,0.0,49.46,"Threat: Malware; Type: Malicious Code; Asset: Physicist,medical Cloud Storage 26 (Workstation); User: John Nelson; Severity: 6"
2422,2020-08-20 20:15:35.560393,Resolved,1,Phishing,Social Engineering,3,39,Purchasingmanager Database 39,Cloud Storage,Clinicalresearchassociate,5,13,Anita Wright,Fieldseismologist,Completed,27,66.0,457.4,Threat: Phishing; Type: Social Engineering; Asset: Purchasingmanager Database 39 (Cloud Storage); User: Anita Wright; Severity: 3
1727,2020-08-20 20:31:13.560393,Resolved,1,Phishing,Social Engineering,3,17,"Physicist,medical Server 17",Cloud Storage,"Engineer,materials",4,4,Christopher Miller,"Engineer,materials",Completed,21,3.63,58.91,"Threat: Phishing; Type: Social Engineering; Asset: Physicist,medical Server 17 (Cloud Storage); User: Christopher Miller; Severity: 3"
3015,2020-08-21 00:06:00.560393,Resolved,2,Malware,Malicious Code,6,4,Planninganddevelopmentsurveyor Server 4,Database,Miningengineer,2,10,Eric Perez,Childpsychotherapist,Completed,39,0.0,19.91,Threat: Malware; Type: Malicious Code; Asset: Planninganddevelopmentsurveyor Server 4 (Database); User: Eric Perez; Severity: 6
1921,2020-08-21 12:07:36.560393,Resolved,1,Phishing,Social Engineering,3,45,Purchasingmanager Database 45,Database,"Engineer,materials",6,7,Amy Cox,Electricalengineer,Completed,30,21.72,326.41,Threat: Phishing; Type: Social Engineering; Asset: Purchasingmanager Database 45 (Database); User: Amy Cox; Severity: 3
2518,2020-08-22 05:19:21.560393,Resolved,2,Malware,Malicious Code,6,16,Databaseadministrator Workstation 16,Server,Purchasingmanager,3,9,Emily Soto,Themeparkmanager,Pending,95,0.0,28.6,Threat: Malware; Type: Malicious Code; Asset: Databaseadministrator Workstation 16 (Server); User: Emily Soto; Severity: 6
4110,2020-08-22 23:44:59.560393,Resolved,2,Malware,Malicious Code,6,47,Databaseadministrator Database 47,Workstation,"Engineer,materials",1,10,Eric Perez,Childpsychotherapist,Completed,72,0.0,19.97,Threat: Malware; Type: Malicious Code; Asset: Databaseadministrator Database 47 (Workstation); User: Eric Perez; Severity: 6
492,2020-08-23 12:06:32.560393,Closed,1,Phishing,Social Engineering,3,8,"Administrator,CivilService Database 8",Cloud Storage,Planninganddevelopmentsurveyor,6,15,Amy Lawrence,Miningengineer,Completed,22,38.03,1267.43,"Threat: Phishing; Type: Social Engineering; Asset: Administrator,CivilService Database 8 (Cloud Storage); User: Amy Lawrence; Severity: 3"
2143,2020-08-23 19:08:40.560393,Resolved,3,Ransomware,Malicious Code,10,34,Planninganddevelopmentsurveyor Cloud Storage 34,Server,Planninganddevelopmentsurveyor,4,1,John Nelson,Consultingcivilengineer,Pending,16,71.57,3274.8,Threat: Ransomware; Type: Malicious Code; Asset: Planninganddevelopmentsurveyor Cloud Storage 34 (Server); User: John Nelson; Severity: 10
2946,2020-08-23 19:44:49.560393,Resolved,5,Insider Threat,Insider,9,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,13,Anita Wright,Fieldseismologist,Completed,19,3.51,156.35,Threat: Insider Threat; Type: Insider; Asset: Childpsychotherapist Server 15 (Workstation); User: Anita Wright; Severity: 9
1897,2020-08-24 11:25:31.560393,Investigating,1,Phishing,Social Engineering,3,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,1,John Nelson,Consultingcivilengineer,Pending,36,0.0,18.13,Threat: Phishing; Type: Social Engineering; Asset: Childpsychotherapist Server 15 (Workstation); User: John Nelson; Severity: 3
158,2020-08-24 11:32:48.560393,Resolved,1,Phishing,Social Engineering,3,34,Planninganddevelopmentsurveyor Cloud Storage 34,Server,Planninganddevelopmentsurveyor,4,11,Shaun Ortega,Clinicalresearchassociate,Completed,134,0.0,18.63,Threat: Phishing; Type: Social Engineering; Asset: Planninganddevelopmentsurveyor Cloud Storage 34 (Server); User: Shaun Ortega; Severity: 3
221,2020-08-24 21:08:18.560393,Resolved,2,Malware,Malicious Code,6,4,Planninganddevelopmentsurveyor Server 4,Database,Miningengineer,2,6,Jeremy Allen,Databaseadministrator,Pending,85,31.26,630.16,Threat: Malware; Type: Malicious Code; Asset: Planninganddevelopmentsurveyor Server 4 (Database); User: Jeremy Allen; Severity: 6
4711,2020-08-25 07:03:53.560393,Resolved,2,Malware,Malicious Code,6,33,Electricalengineer Cloud Storage 33,Workstation,Miningengineer,1,6,Jeremy Allen,Databaseadministrator,Pending,4,0.0,26.38,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Cloud Storage 33 (Workstation); User: Jeremy Allen; Severity: 6
1176,2020-08-25 12:21:45.560393,Closed,1,Phishing,Social Engineering,3,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,1,John Nelson,Consultingcivilengineer,Pending,51,0.0,14.85,Threat: Phishing; Type: Social Engineering; Asset: Childpsychotherapist Server 15 (Workstation); User: John Nelson; Severity: 3
379,2020-08-25 17:56:20.560393,Resolved,5,Insider Threat,Insider,9,18,Purchasingmanager Server 18,Server,Consultingcivilengineer,10,4,Christopher Miller,"Engineer,materials",Completed,35,111.21,1370.91,Threat: Insider Threat; Type: Insider; Asset: Purchasingmanager Server 18 (Server); User: Christopher Miller; Severity: 9
423,2020-08-25 22:11:22.560393,Resolved,1,Phishing,Social Engineering,3,24,Consultingcivilengineer Workstation 24,Cloud Storage,"Physicist,medical",6,8,Alyssa Carpenter,"Administrator,CivilService",Pending,27,0.0,8.18,Threat: Phishing; Type: Social Engineering; Asset: Consultingcivilengineer Workstation 24 (Cloud Storage); User: Alyssa Carpenter; Severity: 3
2771,2020-08-25 23:19:06.560393,Resolved,1,Phishing,Social Engineering,3,35,Gamesdeveloper Cloud Storage 35,Workstation,Consultingcivilengineer,5,4,Christopher Miller,"Engineer,materials",Completed,81,5.7,230.17,Threat: Phishing; Type: Social Engineering; Asset: Gamesdeveloper Cloud Storage 35 (Workstation); User: Christopher Miller; Severity: 3
3748,2020-08-26 17:23:18.560393,Resolved,4,DoS Attack,Denial of Service,8,17,"Physicist,medical Server 17",Cloud Storage,"Engineer,materials",4,9,Emily Soto,Themeparkmanager,Pending,28,0.0,42.71,"Threat: DoS Attack; Type: Denial of Service; Asset: Physicist,medical Server 17 (Cloud Storage); User: Emily Soto; Severity: 8"
1177,2020-08-27 00:20:10.560393,Resolved,2,Malware,Malicious Code,6,26,"Physicist,medical Cloud Storage 26",Workstation,Consultingcivilengineer,10,1,John Nelson,Consultingcivilengineer,Pending,16,0.0,13.56,"Threat: Malware; Type: Malicious Code; Asset: Physicist,medical Cloud Storage 26 (Workstation); User: John Nelson; Severity: 6"
3366,2020-08-27 09:42:06.560393,Resolved,1,Phishing,Social Engineering,3,36,Consultingcivilengineer Server 36,Cloud Storage,Consultingcivilengineer,4,10,Eric Perez,Childpsychotherapist,Completed,13,0.0,7.8,Threat: Phishing; Type: Social Engineering; Asset: Consultingcivilengineer Server 36 (Cloud Storage); User: Eric Perez; Severity: 3
4937,2020-08-27 11:50:58.560393,Closed,1,Phishing,Social Engineering,3,1,Fieldseismologist Database 1,Database,Databaseadministrator,1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,49,0.0,11.84,Threat: Phishing; Type: Social Engineering; Asset: Fieldseismologist Database 1 (Database); User: Alyssa Carpenter; Severity: 3
1115,2020-08-27 19:38:59.560393,Resolved,1,Phishing,Social Engineering,3,10,Electricalengineer Database 10,Server,"Physicist,medical",1,3,Veronica Fitzgerald,Purchasingmanager,Completed,40,0.0,27.01,Threat: Phishing; Type: Social Engineering; Asset: Electricalengineer Database 10 (Server); User: Veronica Fitzgerald; Severity: 3
3108,2020-08-28 19:59:28.560393,Resolved,2,Malware,Malicious Code,6,1,Fieldseismologist Database 1,Database,Databaseadministrator,1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,50,0.0,15.33,Threat: Malware; Type: Malicious Code; Asset: Fieldseismologist Database 1 (Database); User: Alyssa Carpenter; Severity: 6
1915,2020-08-28 21:03:49.560393,Closed,2,Malware,Malicious Code,6,34,Planninganddevelopmentsurveyor Cloud Storage 34,Server,Planninganddevelopmentsurveyor,4,1,John Nelson,Consultingcivilengineer,Pending,25,18.97,256.17,Threat: Malware; Type: Malicious Code; Asset: Planninganddevelopmentsurveyor Cloud Storage 34 (Server); User: John Nelson; Severity: 6
3023,2020-08-28 23:44:19.560393,Closed,1,Phishing,Social Engineering,3,24,Consultingcivilengineer Workstation 24,Cloud Storage,"Physicist,medical",6,2,Angela Sanchez,Gamesdeveloper,Completed,29,0.0,10.05,Threat: Phishing; Type: Social Engineering; Asset: Consultingcivilengineer Workstation 24 (Cloud Storage); User: Angela Sanchez; Severity: 3
4449,2020-08-29 12:57:34.560393,Resolved,1,Phishing,Social Engineering,3,46,Fieldseismologist Cloud Storage 46,Database,"Administrator,CivilService",5,2,Angela Sanchez,Gamesdeveloper,Completed,175,0.0,19.59,Threat: Phishing; Type: Social Engineering; Asset: Fieldseismologist Cloud Storage 46 (Database); User: Angela Sanchez; Severity: 3
2597,2020-08-30 08:53:55.560393,Resolved,2,Malware,Malicious Code,6,33,Electricalengineer Cloud Storage 33,Workstation,Miningengineer,1,2,Angela Sanchez,Gamesdeveloper,Completed,193,0.0,10.11,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Cloud Storage 33 (Workstation); User: Angela Sanchez; Severity: 6
2044,2020-08-30 13:20:51.560393,Closed,5,Insider Threat,Insider,9,34,Planninganddevelopmentsurveyor Cloud Storage 34,Server,Planninganddevelopmentsurveyor,4,9,Emily Soto,Themeparkmanager,Pending,30,0.0,31.48,Threat: Insider Threat; Type: Insider; Asset: Planninganddevelopmentsurveyor Cloud Storage 34 (Server); User: Emily Soto; Severity: 9
1930,2020-08-30 15:54:46.560393,Resolved,5,Insider Threat,Insider,9,41,Gamesdeveloper Database 41,Server,"Administrator,CivilService",1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,1113,47.5,1263.95,Threat: Insider Threat; Type: Insider; Asset: Gamesdeveloper Database 41 (Server); User: Alyssa Carpenter; Severity: 9
604,2020-08-30 18:11:23.560393,Resolved,2,Malware,Malicious Code,6,10,Electricalengineer Database 10,Server,"Physicist,medical",1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,13,0.0,147.62,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Database 10 (Server); User: Alyssa Carpenter; Severity: 6
1637,2020-09-01 10:20:43.560393,Closed,1,Phishing,Social Engineering,3,42,Consultingcivilengineer Workstation 42,Database,Fieldseismologist,4,1,John Nelson,Consultingcivilengineer,Pending,67,36.73,1957.59,Threat: Phishing; Type: Social Engineering; Asset: Consultingcivilengineer Workstation 42 (Database); User: John Nelson; Severity: 3
1483,2020-09-01 14:09:31.560393,Closed,1,Phishing,Social Engineering,3,41,Gamesdeveloper Database 41,Server,"Administrator,CivilService",1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,28,0.0,6.4,Threat: Phishing; Type: Social Engineering; Asset: Gamesdeveloper Database 41 (Server); User: Alyssa Carpenter; Severity: 3
4614,2020-09-01 16:02:12.560393,Resolved,1,Phishing,Social Engineering,3,7,Fieldseismologist Server 7,Workstation,Miningengineer,1,14,Ashley Lester,Planninganddevelopmentsurveyor,Completed,45,7.26,232.55,Threat: Phishing; Type: Social Engineering; Asset: Fieldseismologist Server 7 (Workstation); User: Ashley Lester; Severity: 3
4257,2020-09-02 14:41:04.560393,Resolved,1,Phishing,Social Engineering,3,34,Planninganddevelopmentsurveyor Cloud Storage 34,Server,Planninganddevelopmentsurveyor,4,3,Veronica Fitzgerald,Purchasingmanager,Completed,50,4.04,75.77,Threat: Phishing; Type: Social Engineering; Asset: Planninganddevelopmentsurveyor Cloud Storage 34 (Server); User: Veronica Fitzgerald; Severity: 3
2732,2020-09-02 14:55:09.560393,Resolved,1,Phishing,Social Engineering,3,44,Purchasingmanager Server 44,Database,Fieldseismologist,1,8,Alyssa Carpenter,"Administrator,CivilService",Pending,21,0.0,15.8,Threat: Phishing; Type: Social Engineering; Asset: Purchasingmanager Server 44 (Database); User: Alyssa Carpenter; Severity: 3
838,2020-09-02 21:29:30.560393,Resolved,2,Malware,Malicious Code,6,46,Fieldseismologist Cloud Storage 46,Database,"Administrator,CivilService",5,14,Ashley Lester,Planninganddevelopmentsurveyor,Completed,34,10.74,245.91,Threat: Malware; Type: Malicious Code; Asset: Fieldseismologist Cloud Storage 46 (Database); User: Ashley Lester; Severity: 6
876,2020-09-02 23:21:27.560393,Closed,2,Malware,Malicious Code,6,26,"Physicist,medical Cloud Storage 26",Workstation,Consultingcivilengineer,10,7,Amy Cox,Electricalengineer,Completed,16,67.7,970.62,"Threat: Malware; Type: Malicious Code; Asset: Physicist,medical Cloud Storage 26 (Workstation); User: Amy Cox; Severity: 6"
2656,2020-09-03 04:52:58.560393,Resolved,2,Malware,Malicious Code,6,37,Fieldseismologist Workstation 37,Database,Gamesdeveloper,3,3,Veronica Fitzgerald,Purchasingmanager,Completed,19,0.0,40.27,Threat: Malware; Type: Malicious Code; Asset: Fieldseismologist Workstation 37 (Database); User: Veronica Fitzgerald; Severity: 6
3852,2020-09-03 06:12:27.560393,Resolved,2,Malware,Malicious Code,6,44,Purchasingmanager Server 44,Database,Fieldseismologist,1,4,Christopher Miller,"Engineer,materials",Completed,55,0.0,43.79,Threat: Malware; Type: Malicious Code; Asset: Purchasingmanager Server 44 (Database); User: Christopher Miller; Severity: 6
3513,2020-09-03 06:54:04.560393,Resolved,2,Malware,Malicious Code,6,23,Electricalengineer Database 23,Cloud Storage,Miningengineer,4,7,Amy Cox,Electricalengineer,Completed,71,38.75,358.7,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Database 23 (Cloud Storage); User: Amy Cox; Severity: 6
